file,bird,labels_bg
XC133080.mp3,ameavo,sonspa
XC139829.mp3,ameavo,
XC139921.mp3,ameavo,
XC155039.mp3,ameavo,caster1 ribgul
XC166076.mp3,ameavo,
XC178760.mp3,ameavo,
XC178761.mp3,ameavo,killde
XC179043.mp3,ameavo,buwtea
XC179466.mp3,ameavo,
XC185513.mp3,ameavo,yehbla marwre
XC234550.mp3,ameavo,killde
XC292919.mp3,ameavo,
XC304441.mp3,ameavo,
XC304446.mp3,ameavo,
XC304534.mp3,ameavo,rewbla yehbla killde norsho
XC304643.mp3,ameavo,
XC304644.mp3,ameavo,norsho yehbla barswa killde
XC304674.mp3,ameavo,killde y00475 yehbla rewbla
XC304676.mp3,ameavo,killde
XC304677.mp3,ameavo,
XC304679.mp3,ameavo,yehbla y00475
XC304680.mp3,ameavo,killde y00475 rewbla
XC304681.mp3,ameavo,killde rewbla banswa yehbla y00475
XC317972.mp3,ameavo,
XC318019.mp3,ameavo,yehbla killde marwre
XC324488.mp3,ameavo,
XC324505.mp3,ameavo,
XC324509.mp3,ameavo,
XC324558.mp3,ameavo,
XC324577.mp3,ameavo,caster1
XC383881.mp3,ameavo,
XC421940.mp3,ameavo,killde
XC452798.mp3,ameavo,
XC480759.mp3,ameavo,wesmea
XC480761.mp3,ameavo,wesmea
XC481858.mp3,ameavo,
XC494032.mp3,ameavo,
XC99571.mp3,ameavo,sonspa
XC127371.mp3,amebit,amerob daejun
XC130058.mp3,amebit,
XC133167.mp3,amebit,
XC141316.mp3,amebit,swaspa amecro
XC141320.mp3,amebit,comyel sonspa swathr aldfly
XC149911.mp3,amebit,wilsni1 sora swathr y00475
XC172859.mp3,amebit,
XC172860.mp3,amebit,
XC184876.mp3,amebit,sonspa rewbla easkin buwtea sora wilsni1 barswa mallar3
XC184879.mp3,amebit,rewbla barswa easkin sora grtgra
XC184881.mp3,amebit,sonspa rewbla sora wilsni1 grtgra barswa easkin y00475 comgra wesmea
XC184882.mp3,amebit,rewbla mallar3 wilsni1 sora buwtea moudov sonspa comnig
XC212025.mp3,amebit,
XC233158.mp3,amebit,chispa
XC237517.mp3,amebit,rewbla
XC256110.mp3,amebit,rewbla marwre pibgre comgra
XC256198.mp3,amebit,
XC292673.mp3,amebit,
XC298363.mp3,amebit,rewbla snogoo comyel sonspa
XC298966.mp3,amebit,
XC310044.mp3,amebit,
XC310045.mp3,amebit,
XC310046.mp3,amebit,
XC314525.mp3,amebit,rewbla
XC315463.mp3,amebit,
XC315610.mp3,amebit,blujay
XC315750.mp3,amebit,amebit amegfi rewbla
XC320057.mp3,amebit,rewbla
XC338164.mp3,amebit,amecro
XC345022.mp3,amebit,
XC361329.mp3,amebit,marwre rewbla
XC362480.mp3,amebit,marwre amecro y00475 annhum sonspa
XC368194.mp3,amebit,rewbla cangoo marwre
XC368402.mp3,amebit,
XC370240.mp3,amebit,comyel easmea
XC376418.mp3,amebit,norwat aldfly swathr rewbla
XC378969.mp3,amebit,marwre barswa cedwax
XC417855.mp3,amebit,marwre rewbla comyel amebit sonspa
XC417863.mp3,amebit,
XC417864.mp3,amebit,
XC419704.mp3,amebit,comyel sonspa swathr
XC451067.mp3,amebit,
XC466915.mp3,amebit,rewbla swaspa
XC480763.mp3,amebit,yehbla rewbla
XC123344.mp3,y00475,
XC125510.mp3,y00475,
XC143696.mp3,y00475,
XC143697.mp3,y00475,
XC143698.mp3,y00475,
XC147270.mp3,y00475,
XC152403.mp3,y00475,amewig marwre
XC156076.mp3,y00475,
XC156185.mp3,y00475,
XC160852.mp3,y00475,
XC160853.mp3,y00475,
XC160854.mp3,y00475,
XC160855.mp3,y00475,
XC160857.mp3,y00475,
XC160859.mp3,y00475,
XC160861.mp3,y00475,
XC160863.mp3,y00475,
XC160864.mp3,y00475,
XC160866.mp3,y00475,
XC160868.mp3,y00475,
XC160869.mp3,y00475,
XC160871.mp3,y00475,
XC160872.mp3,y00475,
XC160874.mp3,y00475,
XC160875.mp3,y00475,
XC160876.mp3,y00475,
XC160877.mp3,y00475,
XC162084.mp3,y00475,
XC163057.mp3,y00475,
XC163731.mp3,y00475,
XC172861.mp3,y00475,
XC172862.mp3,y00475,
XC172863.mp3,y00475,
XC173471.mp3,y00475,osprey
