file,bird,labels_bg
XC133080.amp,ameavo,sonspa
XC139829.amp,ameavo,
XC139921.amp,ameavo,
XC155039.amp,ameavo,caster1 ribgul
XC166076.amp,ameavo,
XC178760.amp,ameavo,
XC178761.amp,ameavo,killde
XC179043.amp,ameavo,buwtea
XC179466.amp,ameavo,
XC185513.amp,ameavo,yehbla marwre
XC234550.amp,ameavo,killde
XC292919.amp,ameavo,
XC304441.amp,ameavo,
XC304446.amp,ameavo,
XC304534.amp,ameavo,rewbla yehbla killde norsho
XC304643.amp,ameavo,
XC304644.amp,ameavo,norsho yehbla barswa killde
XC304674.amp,ameavo,killde y00475 yehbla rewbla
XC304676.amp,ameavo,killde
XC304677.amp,ameavo,
XC304679.amp,ameavo,yehbla y00475
XC304680.amp,ameavo,killde y00475 rewbla
XC304681.amp,ameavo,killde rewbla banswa yehbla y00475
XC317972.amp,ameavo,
XC318019.amp,ameavo,yehbla killde marwre
XC324488.amp,ameavo,
XC324505.amp,ameavo,
XC324509.amp,ameavo,
XC324558.amp,ameavo,
XC324577.amp,ameavo,caster1
XC383881.amp,ameavo,
XC421940.amp,ameavo,killde
XC452798.amp,ameavo,
XC480759.amp,ameavo,wesmea
XC480761.amp,ameavo,wesmea
XC481858.amp,ameavo,
XC494032.amp,ameavo,
XC99571.amp,ameavo,sonspa
XC127371.amp,amebit,amerob daejun
XC130058.amp,amebit,
XC133167.amp,amebit,
XC141316.amp,amebit,swaspa amecro
XC141320.amp,amebit,comyel sonspa swathr aldfly
XC149911.amp,amebit,wilsni1 sora swathr y00475
XC172859.amp,amebit,
XC172860.amp,amebit,
XC184876.amp,amebit,sonspa rewbla easkin buwtea sora wilsni1 barswa mallar3
XC184879.amp,amebit,rewbla barswa easkin sora grtgra
XC184881.amp,amebit,sonspa rewbla sora wilsni1 grtgra barswa easkin y00475 comgra wesmea
XC184882.amp,amebit,rewbla mallar3 wilsni1 sora buwtea moudov sonspa comnig
XC212025.amp,amebit,
XC233158.amp,amebit,chispa
XC237517.amp,amebit,rewbla
XC256110.amp,amebit,rewbla marwre pibgre comgra
XC256198.amp,amebit,
XC292673.amp,amebit,
XC298363.amp,amebit,rewbla snogoo comyel sonspa
XC298966.amp,amebit,
XC310044.amp,amebit,
XC310045.amp,amebit,
XC310046.amp,amebit,
XC314525.amp,amebit,rewbla
XC315463.amp,amebit,
XC315610.amp,amebit,blujay
XC315750.amp,amebit,amebit amegfi rewbla
XC320057.amp,amebit,rewbla
XC338164.amp,amebit,amecro
XC345022.amp,amebit,
XC361329.amp,amebit,marwre rewbla
XC362480.amp,amebit,marwre amecro y00475 annhum sonspa
XC368194.amp,amebit,rewbla cangoo marwre
XC368402.amp,amebit,
XC370240.amp,amebit,comyel easmea
XC376418.amp,amebit,norwat aldfly swathr rewbla
XC378969.amp,amebit,marwre barswa cedwax
XC417855.amp,amebit,marwre rewbla comyel amebit sonspa
XC417863.amp,amebit,
XC417864.amp,amebit,
XC419704.amp,amebit,comyel sonspa swathr
XC451067.amp,amebit,
XC466915.amp,amebit,rewbla swaspa
XC480763.amp,amebit,yehbla rewbla
XC123344.amp,y00475,
XC125510.amp,y00475,
XC143696.amp,y00475,
XC143697.amp,y00475,
XC143698.amp,y00475,
XC147270.amp,y00475,
XC152403.amp,y00475,amewig marwre
XC156076.amp,y00475,
XC156185.amp,y00475,
XC160852.amp,y00475,
XC160853.amp,y00475,
XC160854.amp,y00475,
XC160855.amp,y00475,
XC160857.amp,y00475,
XC160859.amp,y00475,
XC160861.amp,y00475,
XC160863.amp,y00475,
XC160864.amp,y00475,
XC160866.amp,y00475,
XC160868.amp,y00475,
XC160869.amp,y00475,
XC160871.amp,y00475,
XC160872.amp,y00475,
XC160874.amp,y00475,
XC160875.amp,y00475,
XC160876.amp,y00475,
XC160877.amp,y00475,
XC162084.amp,y00475,
XC163057.amp,y00475,
XC163731.amp,y00475,
XC172861.amp,y00475,
XC172862.amp,y00475,
XC172863.amp,y00475,
XC173471.amp,y00475,osprey
XC173472.amp,y00475,osprey
XC173476.amp,y00475,
XC180456.amp,y00475,
XC187633.amp,y00475,
XC192186.amp,y00475,pibgre sora sonspa rewbla
XC196573.amp,y00475,
XC210409.amp,y00475,
XC215090.amp,y00475,
XC215223.amp,y00475,
XC253357.amp,y00475,
XC253878.amp,y00475,
XC267558.amp,y00475,
XC267942.amp,y00475,comyel rewbla normoc labwoo
XC277615.amp,y00475,
XC277617.amp,y00475,comyel norsho sonspa rewbla
XC287788.amp,y00475,
XC294873.amp,y00475,
XC298174.amp,y00475,
XC299110.amp,y00475,
XC299112.amp,y00475,
XC303675.amp,y00475,
XC304264.amp,y00475,
XC318751.amp,y00475,sonspa
XC318752.amp,y00475,
XC327654.amp,y00475,lesgol
XC330301.amp,y00475,grtgra
XC338399.amp,y00475,
XC357657.amp,y00475,marwre
XC357659.amp,y00475,y00475 wesmea marwre sonspa killde
XC363448.amp,y00475,
XC383912.amp,y00475,
XC398304.amp,y00475,
XC420466.amp,y00475,
XC420468.amp,y00475,leabit comyel
XC420469.amp,y00475,
XC423350.amp,y00475,sonspa
XC423351.amp,y00475,comyel grtgra
XC448938.amp,y00475,
XC451356.amp,y00475,
XC452093.amp,y00475,marwre sonspa sora
XC452094.amp,y00475,
XC452164.amp,y00475,
XC452166.amp,y00475,
XC452168.amp,y00475,
XC452169.amp,y00475,
XC452170.amp,y00475,
XC452172.amp,y00475,
XC452173.amp,y00475,
XC452175.amp,y00475,
XC452176.amp,y00475,
XC452741.amp,y00475,
XC453043.amp,y00475,
XC45515.amp,y00475,
XC45516.amp,y00475,
XC482269.amp,y00475,
XC487936.amp,y00475,
XC54444.amp,y00475,
XC54448.amp,y00475,
XC57423.amp,y00475,
XC57424.amp,y00475,
XC57426.amp,y00475,
XC57428.amp,y00475,
XC57429.amp,y00475,
XC66143.amp,y00475,
XC66144.amp,y00475,sonspa eastow comyel
XC6870.amp,y00475,pibgre
XC109299.amp,amegfi,
XC109300.amp,amegfi,
XC109301.amp,amegfi,
XC109606.amp,amegfi,
XC114087.amp,amegfi,houwre sonspa rewbla
XC114342.amp,amegfi,wlswar orcwar norfli rebnut bewwre comyel whcspa belkin1 brncre
XC124312.amp,amegfi,
XC127600.amp,amegfi,cangoo amecro houspa bkcchi
XC131637.amp,amegfi,ribgul chispa daejun cangoo
XC133564.amp,amegfi,amerob comyel grycat blujay
XC133565.amp,amegfi,comyel
XC133569.amp,amegfi,amerob blujay sonspa amecro
XC139798.amp,amegfi,
XC141469.amp,amegfi,
XC153552.amp,amegfi,
XC156788.amp,amegfi,
XC157457.amp,amegfi,
XC165034.amp,amegfi,blujay yerwar ribgul
XC169080.amp,amegfi,sonspa
XC169081.amp,amegfi,sonspa comyel
XC169082.amp,amegfi,houwre
XC169083.amp,amegfi,
XC169084.amp,amegfi,
XC169085.amp,amegfi,
XC17120.amp,amegfi,rebwoo grycat norcar
XC175254.amp,amegfi,fiespa amecro bkcchi norcar
XC177152.amp,amegfi,ribgul cedwax
XC179074.amp,amegfi,norcar houwre blujay whtspa amerob
XC179086.amp,amegfi,blujay carwre houwre norcar whtspa ruckin
XC179092.amp,amegfi,rewbla sonspa
XC179124.amp,amegfi,whcspa houfin spotow
XC179304.amp,amegfi,
XC182073.amp,amegfi,
XC182078.amp,amegfi,
XC182406.amp,amegfi,
XC191980.amp,amegfi,
XC192078.amp,amegfi,
XC192099.amp,amegfi,tuftit houfin
XC205514.amp,amegfi,
XC206070.amp,amegfi,rewbla barswa
XC210732.amp,amegfi,
XC210744.amp,amegfi,
XC210746.amp,amegfi,rewbla cedwax amerob whtspa
XC210754.amp,amegfi,purfin
XC217005.amp,amegfi,rewbla
XC236563.amp,amegfi,
XC239645.amp,amegfi,bkcchi
XC253704.amp,amegfi,
XC255471.amp,amegfi,rewbla sonspa bulori
XC276993.amp,amegfi,
XC288983.amp,amegfi,sonspa whtspa
XC288984.amp,amegfi,whtspa
XC294256.amp,amegfi,
XC294424.amp,amegfi,
XC298362.amp,amegfi,
XC31023.amp,amegfi,amerob
XC313463.amp,amegfi,
XC313678.amp,amegfi,bkcchi
XC313679.amp,amegfi,rebwoo
XC313680.amp,amegfi,rebwoo
XC313681.amp,amegfi,rebwoo
XC315299.amp,amegfi,
XC315598.amp,amegfi,
XC318488.amp,amegfi,
XC323308.amp,amegfi,dowwoo
XC324344.amp,amegfi,amerob
XC325098.amp,amegfi,
XC325659.amp,amegfi,
XC327670.amp,amegfi,
XC333998.amp,amegfi,
XC344965.amp,amegfi,
XC363216.amp,amegfi,amecro bkcchi rewbla
