file,bird,labels_bg
XC133080.mp3,AMERICAN AVOCET,sonspa
XC139829.mp3,AMERICAN AVOCET,
XC139921.mp3,AMERICAN AVOCET,
XC155039.mp3,AMERICAN AVOCET,caster1 ribgul
XC166076.mp3,AMERICAN AVOCET,
XC178760.mp3,AMERICAN AVOCET,
XC178761.mp3,AMERICAN AVOCET,killde
XC179043.mp3,AMERICAN AVOCET,buwtea
XC179466.mp3,AMERICAN AVOCET,
XC185513.mp3,AMERICAN AVOCET,yehbla marwre
XC234550.mp3,AMERICAN AVOCET,killde
XC292919.mp3,AMERICAN AVOCET,
XC304441.mp3,AMERICAN AVOCET,
XC304446.mp3,AMERICAN AVOCET,
XC304534.mp3,AMERICAN AVOCET,rewbla yehbla killde norsho
XC304643.mp3,AMERICAN AVOCET,
XC304644.mp3,AMERICAN AVOCET,norsho yehbla barswa killde
XC304674.mp3,AMERICAN AVOCET,killde y00475 yehbla rewbla
XC304676.mp3,AMERICAN AVOCET,killde
XC304677.mp3,AMERICAN AVOCET,
XC304679.mp3,AMERICAN AVOCET,yehbla y00475
XC304680.mp3,AMERICAN AVOCET,killde y00475 rewbla
XC304681.mp3,AMERICAN AVOCET,killde rewbla banswa yehbla y00475
XC317972.mp3,AMERICAN AVOCET,
XC318019.mp3,AMERICAN AVOCET,yehbla killde marwre
XC324488.mp3,AMERICAN AVOCET,
XC324505.mp3,AMERICAN AVOCET,
XC324509.mp3,AMERICAN AVOCET,
XC324558.mp3,AMERICAN AVOCET,
XC324577.mp3,AMERICAN AVOCET,caster1
XC383881.mp3,AMERICAN AVOCET,
XC421940.mp3,AMERICAN AVOCET,killde
XC452798.mp3,AMERICAN AVOCET,
XC480759.mp3,AMERICAN AVOCET,wesmea
XC480761.mp3,AMERICAN AVOCET,wesmea
XC481858.mp3,AMERICAN AVOCET,
XC494032.mp3,AMERICAN AVOCET,
XC99571.mp3,AMERICAN AVOCET,sonspa
XC127371.mp3,AMERICAN BITTERN,amerob daejun
XC130058.mp3,AMERICAN BITTERN,
XC133167.mp3,AMERICAN BITTERN,
XC141316.mp3,AMERICAN BITTERN,swaspa amecro
XC141320.mp3,AMERICAN BITTERN,comyel sonspa swathr aldfly
XC149911.mp3,AMERICAN BITTERN,wilsni1 sora swathr y00475
XC172859.mp3,AMERICAN BITTERN,
XC172860.mp3,AMERICAN BITTERN,
XC184876.mp3,AMERICAN BITTERN,sonspa rewbla easkin buwtea sora wilsni1 barswa mallar3
XC184879.mp3,AMERICAN BITTERN,rewbla barswa easkin sora grtgra
XC184881.mp3,AMERICAN BITTERN,sonspa rewbla sora wilsni1 grtgra barswa easkin y00475 comgra wesmea
